Id	text	user_location
60	fotocopy ktp lampir input tanggal lahir salah arti masuk manual otomatis isi nik data keluar otomatis jadi begini sangat penting kartu vaksin	Bandar Lampung, Lampung
61	assalamualaikum netijen salam esaka hari tani ibu vaksin kantor bapak jangan lupa vaksin pandemi cepat akhir	Bandar Lampung, Lampung
62	niat siap pagi banget biar sarap vaksin siap set akhir otw	Bandar Lampung, Lampung
63	ehh jujur tinggal vaksin benar jadi wajar takut mati coba bicara pelan pelan periksa dulu sakit bawa hipertensi vaksinasi sakit bawa insya allah sehat baik baik didik nenek	Bandar Lampung, Lampung
64	untung dr tirta lelah mohon jelas vaksin vaccine	Bandung
65	minggu depan vaksin pertama	Bandung
66	camat batununggal drs tarya map jajar pantau vaksin massal jabrix cafe desa maleer senin	Bandung
67	gejala wajah vaksinasi	Bandung
68	yasss kael vaksin	Bandung
69	masalah daerah t negara miskin vaksin sulit jangkau stok distribusi teknis operasional apa solusi obat repurposed ivm	Bandung
70	luhut perlu vaksinasi kebal hadap virus liar	Bandung
71	min mana daftar vaksin warga bandung	Bandung
72	dagang pasar purwakarta jadi sasar vaksinasi covid masyarakat	Bandung
73	aman azaaaa vaksin besok	Bandung
74	baru kemarin sayang informasi hari vaksin tiba kantor camat pindah kantor polisi dr kantor polisi operasi puskesmas pergi puskesmas daftar cara mandiri daftar kuota penuh	Bandung
75	vaksin asa paling dominan lapar tunggu	Bandung
76	kumpar sebut rangkum jumlah kabar gembira kait tangan corona indonesia	Bandung
77	vaksin euy	Bandung
78	camat batununggal drs tarya map jajar monitoring vaksin massal trans studio mall desa cibangkong senin	Bandung
79	uji vaksin lebih cara klinis ivm obat butuh resep dokter	Bandung
80	masalah daerah miskin vaksin negara sulit jangkau stok distribusi teknis operasional apa solusi obat repurpose ivm	Bandung
81	milik vaksin uji klinis lebih ivm obat butuh resep dokter	Bandung
82	min mau minta vaksinasi luar ktp bandung mana itenas	Bandung
83	bulan depan covid sedang landai silah jemput bola cara pergi rumah vaksin jangan tunggu ombak bagai	Bandung
84	antri vaksin techno park cimahi sangat panjang tadi pagi belakang gedung	Bandung
85	warga bandung ikut daftar vaksin covid indonesia yuk cek jenis vaksin interval dosis	Bandung
86	yuhuu nadip vaksin	Bandung
87	camat batununggal damping anggota dpr ri wakil ketua dprd kota bandung pantau vaksin massal taman kiara artha kabupaten kebonwaru senin	Bandung
88	yeayyy vaksin	Bandung
89	ide buka posko vaksin gratis sangat manfaat orang banyak	Bandung
90	mana vaksin bukan sinovac	Bandung
91	rektor ui tengah pandemi virus vaksin	Bandung
92	keren hai abi vaksin	Bandung
93	bima arya i warga isoman tinggal vaksinasi data sekaligus tegas vaksin efektif panggil jokowi istana bogor rabu	Bandung
94	hari mau vaksin yeay	Bandung
95	vaksin beri dipkm kejut x lebih banyak orang perlu vaksinasi vaksin pertama	Bandung
96	syarat vaksin dulu cukup bukti cepat sangkut negatif covid	Bandung
97	kantor bapak vaksin cepat semua jujur malas baru mau vaksin segera	Bandung 
98	ampun bawa mimpi vaksinasi hahahaha	Bandung - Indramayu
99	vaksin bawa fotocopy ktp aneh kok awal jelasin bawa ktp suruh bawa foto copy ktp	Bandung - Jawa Barat
100	amerika dok menteri investasi menteri dagang tum bpp hipmi sana angka vaksinasi nasional cukup tinggi lebih tinggi amerika terap masker vaksin sakit vaksin perlu pakai beraktifitas normal	Bandung - West Java
101	min data status vaksin sinkronisasi careprotection jaki mana hubung terima vaksin pertama ikut vaksin lalu tempat daftar aplikasi jaki	Bandung City
102	puncak vaksin bagai provinsi	Bandung ITB
103	ancam potong gaji hasil banyak masyarakat garut tolak vaksin corona	Bandung Indonesia
104	kata orang kena covid perlu vaksin soal anti body nya bentuk ane bingung jelasin	Bandung Kidul, Indonesia
105	vaksin bulan april yll tanggal juni positif copy gejala anggota kelas isomanisme hari salah satu anggota kelompok usia produktif pcrnya positif ct beri layan sehat baik terapi obat hari terima kasih	Bandung Kulon, Indonesia
106	saran vaksin baik bukan tolak vaksin	Bandung Kulon, Indonesia
107	vaksin bulan april yll tanggal juni positif copy gejala anggota kelas isomanisme hari salah satu anggota kelompok usia produktif pcrnya positif ct tugas sehat baik terapi obat hari terima kasih	Bandung Kulon, Indonesia
108	serah siapa mau komentar ingat pakai masker protokol sehat segera vaksinasi cari lokasi dekat cussss	Bandung Kulon, Indonesia
109	zaman pak hm seoharto polio vaksin polio hilang cacar vaksin hari vaksin makin banyak mau tanya vaksin apa cc racun tikus	Bandung Kulon, Indonesia
110	bewara vaksin besok kuota penuh verifikasi dinas sosial jadwal daftar tunggu informasi jadwal vaksin terima kasih	Bandung Rock City
111	nah nama versi gelap vaksin sekarang kumpul uang vaksin booster bulan depan	Bandung Rock City
112	takut suntik sama supporter psgj cirebon jalan vaksinasi covid	Bandung Timur, Indonesia
113	klaim vaksin beri lindung sesat cara maksimal	Bandung Utara
114	vaksin sehat sehat	Bandung barat INDONESIA
115	tenang perut sakit lapar jatah nasi milik surat vaksin sakit lemah fisik paksa vaksin bantu beras vaksin bantu sosial jerat leher orang lemah	Bandung, Indonesia
116	info vaksin kabupaten bandung lokasi telkom university stadion jalak daftar online dulu	Bandung, Indonesia
117	info vaksin kabupaten bandung lokasi telkom university stadion burung jalak daftar online dulu	Bandung, Indonesia
118	eh vaksin sekarang kmrb obgyn izin pusat vaksin izin	Bandung, Indonesia
119	qatar sama bahkan milik barcode sendiri status vaksinasi status isolasi berapa kali tangkap scan cerita isoman pura pura sehat orang sepupu eksentrik memberitahu	Bandung, Indonesia
120	obrol sore vaksin ibu laundry belah kost nya ouh mas vaksin efek mba efek kok minggu minggu sejak vaksinasi orang orang belakang vaksinasi orang tinggal antivaxx	Bandung, Indonesia
121	bumi lama perkosa nafsu manusia manusia bicara hikmah mimbar agama agama ajar hikmah muncul virus corona bahkan terus bohong vaksin sakit sebut wabah landa kini henti jenak binasa	Bandung, Indonesia
122	akhir ajak oge vaksin saukur selamat pagi menang sama	Bandung, Indonesia
123	sangat butuh bantu puskesmas jadi fokus vaksinasi benar benar andal puskesmas produktif lama juta minggu efek makan waktu tahun tahun selesai program vaksin	Bandung, Indonesia
124	jadi tau lebih baik usap dulu percuma kalau virus tubuh perlu vaksin	Bandung, Indonesia
125	ppkm banyak pergi masjid usap hati al qur vaksin jiwa dzikir cuci tangan sedekah jaga jarak maksiat insyallah aman dunia akhirat	Bandung, Indonesia
126	bandung vaksin coba daftar langsung jadwal pake nunggu buat anak atas lima tahun oke pake syarat ktp bandung lama ktp indonesia bahasa indonesia buru buru vaksinasi	Bandung, Indonesia
127	dosis vaksinasi tugas sehat rcti coverage pmn rs mata cicendo bandung	Bandung, Indonesia
128	eijkman chip elektronik vaksin covid suntik	Bandung, Jawa Barat
129	ma ruf amin sorot tangan ppkm covid    jabar vaksinasi sebut	Bandung, Jawa Barat
130	pusat vaksin covid buka umum silah datang langsung tempat daftar pusat vaksin nindya ika unhas vaksin vaksin hari senin selasa juli waktu layan	Bandung, Jawa Barat
